"","",1.00004215E10,Żyraf: Czas Zemsty
1969,1,16666.7,Easy Rider
1969,2,27000.0,The Stewardesses
1970,1,10937.5,"Count Yorga, Vampire"
1970,2,18225.7,Joe
1971,1,10133.3,Sweet Sweetback's Baadasssss Song
1971,2,69841.5,Lady Frankenstein
1972,1,50000.0,Pink Flamingos
1972,2,13750.0,The Legend of Boggy Creek
1973,1,1236.0,Paper Moon
1973,2,18018.0,American Graffiti
1974,1,4596.2,Blazing Saddles
1974,2,36352.9,The Texas Chain Saw Massacre
1975,1,58333.3,"Aloha, Bobby and Rose"
1975,2,16857.1,Let's Do It Again
1976,1,2454.5,Ode to Billy Joe
1976,2,11725.0,Rocky
1977,1,7049.1,Star Wars
1977,2,10869.6,The Hills Have Eyes
1978,1,1830.0,Good Guys Wear Black
1978,2,21622.8,Halloween
1979,1,3996.2,Phantasm
1979,2,3333.3,Shaolin Heroes
1980,1,10864.5,Friday the 13th
1980,2,2384.4,Airplane!
1981,1,2166.3,Raiders of the Lost Ark
1981,2,8400.0,The Evil Dead
1982,1,7552.1,E.T. the Extra-Terrestrial
1982,2,2495.3,The House on Sorority Row
1983,1,4955.3,Valley Girl
1983,2,16666.7,A Polish Vampire in Burbank
1984,1,3223.6,Breakin'
1984,2,3166.7,A Nightmare on Elm Street
1985,1,5152.5,The Breakfast Club
1985,2,1.545929909E8,Kiss of the Spider Woman
1986,1,2378.9,Top Gun
1986,2,6564.1,Crocodile Dundee
1987,1,1120.0,A Nightmare on Elm Street 3: Dream Warriors
1987,2,3576.3,Dirty Dancing
1988,1,4333.3,Bloodsport
1988,2,1444.1,Twins
1989,1,2285.2,My Left Foot: The Story of Christy Brown
1989,2,4191.5,Roger & Me
1990,1,100094.7,Angel Town
1990,2,4922.1,BlackJack
1991,1,1405294.4,Kickboxer 2: The Road Back
1991,2,5339.6,Slacker
1992,1,1087.2,Like Water for Chocolate
1992,2,2275.9,Police Story 3: Super Cop
1993,1,1460.5,Jurassic Park
1993,2,1765.1,Mrs. Doubtfire
1994,1,5584.1,Four Weddings and a Funeral
1994,2,11427.5,Clerks
1995,1,1070.9,While You Were Sleeping
1995,2,1383.3,Leaving Las Vegas
1996,1,1089.9,Independence Day
1996,2,2841.7,Sling Blade
1997,1,4808.5,Chasing Amy
1997,2,7367.1,The Full Monty
1998,1,2549.0,A
1998,2,10003.9,Kuch Kuch Hota Hai
1999,1,5000.0,Upendra
1999,2,414398.5,The Blair Witch Project
2000,1,5000.0,Untold Stories of Columbine
2000,2,350000.0,Vanna Thamizh Paatu
2001,1,5000.0,Xchange
2001,2,1674.8,Lovely & Amazing
2002,1,7374.9,My Big Fat Greek Wedding
2002,2,6967.1,Infernal Affairs
2003,1,2472.7,Baywatch: Hawaiian Wedding
2003,2,533033.9,Tarnation
2004,1,43961.7,Super Size Me
2004,2,42052.3,Open Water
2005,1,393617.0,Лесная царевна
2005,2,1567531.1,The Notorious Bettie Page
2006,1,4624.3,An Inconvenient Truth
2006,2,12944.1,Once
2007,1,4500.0,Move Me
2007,2,90317.7,Paranormal Activity
2008,1,50000.0,Por qué no me tocó ser Michael Keaton?
2008,2,6691.3,Fireproof
2009,1,500000.0,Saved
2009,2,100000.0,Leon jumps in the Liffey for 50 euro
2010,1,13333.3,Booye Gandom
2010,2,10153.1,Catfish
2011,1,2688172.0,From Prada to Nada
2011,2,100889.3,Smithereens
2012,1,2.755584E8,Between Us
2012,2,100000.0,Someone Wants to Talk with You
2013,1,524656.3,To the Wonder
2013,2,3220.0,Insidious: Chapter 2
2014,1,8917.4,The Quiet Ones
2014,2,6934.1,Mary Kom
2015,1,6288.2,Unfriended
2015,2,42664.4,The Gallows
2016,1,72000.0,Dindon Sauvage (La dinde noire)
2016,2,18333.3,Moon Men
2017,1,1.033113E8,Bellator 175: Rampage vs. King Mo 2
2017,2,666666.7,One Cut of the Dead
2018,1,666666.7,Khaltoor
2018,2,20750.0,Night Where People Had Died 7: He Return
2019,1,3947.1,WWE Money in the Bank 2019
2019,2,10000.0,The Loony Park
2020,1,1.66666667E7,Fortnite the Movie Part One
2020,2,1.0E7,Fortnite: The Final Chapter
2021,1,1.33831945E7,"Dad, I'm Sorry"
2021,2,333333.3,Bear Lake Bloodbath
2022,1,1000.0,"Portrait de Rosa, à la française"
2022,2,300.0,The Swarm
2023,1,0.0,Weldito La pelicula
2023,2,7821.4,Parallel Heroes
2024,1,282.5,Narayan Pustika
2024,2,0.0,Avatar 3
2025,1,"",The Wild Ones
2025,2,"",Untitled Wicked Sequel
2026,1,"",平安岛
2026,2,0.0,Avatar 4
2027,2,"",Untitled Star Wars Film
2028,2,0.0,Avatar 5
2049,1,"",我不是李小龙
2099,2,"",100 Years
